Strategy,Return,CAGR,Sharpe,Sortino,MaxDD,Calmar,Alpha,Beta,Alpha p,Sig?,Costs,Trades
(a) Momentum (baseline),2.69589828790678,0.23595739445620145,0.8849210275007248,1.1161904331421486,-0.4589403985711944,0.5512909697168825,0.11526975001786259,1.000760266384039,0.1482902791672664,False,18308.84876364547,1144
(a) MeanRev (baseline),0.5985445920646977,0.07898448911658362,0.42048235024794495,0.5051499354396324,-0.354249375687589,0.31142732286304486,-0.008119159847876981,0.8605502206530227,0.728724214926471,False,18018.74415627573,780
(a) Momentum+MeanRevFilter,2.2310186707275377,0.20932344679646753,0.80654999629973,1.0304274160973264,-0.443981215451975,0.5213894297695466,0.08744291744715271,1.0465642686512904,0.21941928226643326,False,19117.147227848684,1199
(a) Pullback+Sentiment,-0.41959056657663296,-0.08438835317117876,-0.3427238452807688,-0.28044420357799227,-0.5038152931861075,-0.1355494540112458,-0.12817880953683006,0.43511307204746463,0.016252503517814435,True,4806.37939697967,121
(a) MultiSignal Composite,2.037121913575432,0.1972553995615658,0.8926017737997588,1.1879592900505973,-0.2837053639126488,0.7299062020375273,0.08058375864429702,0.9190559312021009,0.20210604844459315,False,18092.688486085197,1175
(b) MeanRev Fixed,0.5985445920646977,0.07898448911658362,0.42048235024794495,0.5051499354396324,-0.354249375687589,0.31142732286304486,-0.008119159847876981,0.8605502206530227,0.728724214926471,False,18018.74415627573,780
(b) Momentum Fixed (60d),2.69589828790678,0.23595739445620145,0.8849210275007248,1.1161904331421486,-0.4589403985711944,0.5512909697168825,0.11526975001786259,1.000760266384039,0.1482902791672664,False,18308.84876364547,1144
(b) MeanRev Adaptive,0.09534500813730817,0.014867956595581155,0.17969193779118006,0.21172296895250112,-0.35157797466566243,0.11936404357411329,-0.05883160091572027,0.732351103611336,0.2030828447139684,False,11839.63907507074,617
(b) Momentum Adaptive,1.7574011703986505,0.17865441679744198,0.7046628503194556,0.8785667409296285,-0.42648543505977565,0.48876888621578607,0.07498352448700296,0.9697314495430291,0.42048943344824946,False,14863.548958543599,1070
(c) Sector Momentum,-0.035570946260358505,-0.005852383089941959,0.062171675092296375,0.06818812460097813,-0.337872589873951,0.034129489953842594,-0.06435211941203609,0.5513377327119094,0.0709320796403648,False,15345.83794406193,1316
(c) Sector MeanRev,1.0172051234725523,0.12043624248695828,0.5900654701026863,0.6115785725821273,-0.5306864130585169,0.2700730495148014,0.021465906563902504,0.8853701368210206,0.9305828016719413,False,33574.57472229766,740
(c) Sector RelStrength,0.2521830456307679,0.03711720635738902,0.3038115905788191,0.3356646868509527,-0.2659367037947086,0.1891873813499578,-0.01224912053436852,0.4545417168397641,0.2202040324788329,False,21735.239786187125,1394
